# Time-averaged data for fix fixflux1
# TimeStep v_tempt1v v_tempt2v f_fix1 f_fix2 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
350000 240.247 198.271 -86.4421 -24.1368 4.59338e-09 3.87394e-09 2.72845e-09 1.42831e-09 1.86154e-09 1.94943e-09 1.82975e-09 1.81561e-09
360000 238.242 193.24 -85.2403 -28.0058 -6.19186e-09 -6.61894e-09 -4.14419e-09 -2.9867e-09 -2.49495e-09 -2.77696e-09 -3.11592e-09 -3.18916e-09
370000 244.63 192.557 -91.5432 -26.6732 -4.93477e-10 1.54344e-09 1.11316e-09 -2.76536e-10 -1.39579e-10 6.5815e-10 7.98097e-10 8.38042e-10
380000 240.658 195.611 -70.3463 -10.2962 -2.12256e-09 5.21057e-09 2.21433e-09 -3.56553e-09 1.14753e-09 2.33288e-09 2.40421e-09 2.37331e-09
390000 243.014 196.999 -48.2099 -22.2166 -5.47363e-10 -1.6861e-09 -8.86061e-10 6.2247e-10 -1.41121e-09 -1.2923e-09 -1.0923e-09 -1.03963e-09
400000 242.134 193.067 -59.2909 -15.5869 1.11193e-09 -1.87014e-09 2.25769e-09 -2.47868e-11 2.13812e-10 -3.5125e-10 -2.33522e-10 -2.24024e-10
410000 235.602 190.295 -57.7639 -8.59068 9.9908e-10 7.13147e-09 5.30483e-09 -3.18929e-09 2.24532e-10 3.0279e-09 2.84635e-09 2.86934e-09
420000 244.24 193.376 -71.9699 -4.12431 7.68327e-09 -7.74687e-10 -2.78582e-09 6.01619e-09 2.75282e-09 -8.62774e-10 -8.10646e-10 -8.29637e-10
430000 241.423 195.83 -87.9825 -9.75708 7.18079e-09 -3.7958e-09 -1.84388e-09 5.84693e-09 1.19763e-09 -1.63655e-09 -1.79902e-09 -1.8423e-09
440000 241.505 198.377 -87.3115 -18.9752 -7.42386e-09 -9.57808e-11 -8.32323e-11 -5.31787e-09 -6.13126e-10 3.5666e-10 4.05853e-10 4.15273e-10
450000 243.515 195.652 -80.591 -11.0452 1.58962e-09 2.33755e-09 2.49813e-09 -1.39835e-09 1.46455e-09 1.09602e-09 1.09757e-09 1.10117e-09
460000 235.286 199.863 -76.5271 -11.6258 1.29806e-09 1.21968e-10 1.63958e-11 1.05513e-09 3.64705e-11 -1.52894e-10 -1.27269e-10 -6.96525e-11
470000 236.022 195.484 -56.3697 -16.0032 -7.28698e-09 -2.4543e-09 -3.49604e-10 -1.25621e-09 -4.80526e-09 -7.33404e-10 -5.93345e-10 -5.81028e-10
480000 242.808 196.96 -81.6428 -14.9597 2.53405e-10 4.0754e-09 2.26492e-09 -1.02693e-09 6.10521e-10 1.81673e-09 1.88011e-09 1.87347e-09
490000 242.964 196.096 -97.3596 -33.4847 1.96139e-09 -1.97142e-09 -7.75738e-10 2.89338e-09 -1.48617e-09 -1.21161e-09 -1.17492e-09 -1.13757e-09
500000 244.182 198.835 -95.4922 -29.2577 4.52584e-09 4.92986e-09 3.72848e-09 2.16929e-10 2.7699e-09 2.21778e-09 2.36477e-09 2.34038e-09
510000 242.343 191.49 -73.1043 -27.2544 -2.05549e-09 -9.41404e-09 -6.36773e-09 2.18938e-09 -2.19203e-09 -4.51723e-09 -4.58766e-09 -4.56676e-09
520000 241.649 196.959 -111.124 -15.6704 -4.69963e-09 -3.99329e-10 -8.97477e-10 -8.85021e-10 -2.1049e-09 2.10538e-11 1.13908e-10 1.09572e-10
530000 239.704 198.816 -81.6601 -4.55883 9.34677e-09 3.28868e-09 2.19705e-09 2.85862e-09 4.19486e-09 1.14294e-09 1.06888e-09 1.08085e-09
540000 239.377 197.288 -91.5785 -9.48713 -1.53392e-09 6.74519e-10 4.22848e-10 -9.95294e-10 -3.65426e-10 1.87738e-10 3.51546e-10 3.61971e-10
550000 238.593 198.814 -78.7787 -0.241461 9.00682e-09 4.96237e-09 4.24155e-09 4.19726e-09 1.42702e-09 2.30578e-09 2.1586e-09 2.05715e-09
560000 243.66 195.085 -69.0051 -14.5139 8.38143e-10 -2.8915e-09 -1.75486e-09 2.00557e-09 -7.13942e-10 -1.36331e-09 -1.40879e-09 -1.393e-09
570000 235.16 195.537 -91.5202 -11.4954 4.14298e-09 2.17611e-09 2.03864e-09 1.71042e-09 1.56923e-09 1.0205e-09 1.05198e-09 1.08478e-09
580000 242.118 197.544 -74.7386 -6.68455 9.00042e-10 2.80068e-09 2.44705e-09 -3.18842e-09 2.80028e-09 1.38885e-09 1.39239e-09 1.34816e-09
590000 241.53 203.708 -79.2232 -26.4865 -3.61461e-09 -2.29658e-09 -3.40389e-09 9.55601e-10 -3.60201e-09 -1.3862e-09 -1.4701e-09 -1.51771e-09
600000 240.674 194.443 -77.5804 -18.3183 -2.85657e-09 -1.90713e-09 -2.67048e-09 4.55748e-10 -1.07259e-09 -6.59363e-10 -7.76537e-10 -7.54758e-10
610000 238.967 193.595 -75.0358 -13.3917 4.81176e-10 5.65074e-11 -3.60083e-10 6.30204e-10 3.95629e-10 2.22373e-10 1.39391e-10 1.20569e-10
620000 244.162 194.09 -78.5308 -17.8421 2.12361e-09 3.24064e-09 2.28847e-09 9.90502e-10 -2.24537e-10 1.50158e-09 1.46686e-09 1.42798e-09
630000 242.392 194.28 -69.5675 -4.18371 1.9521e-09 -4.09046e-10 -1.71404e-10 2.24923e-09 -1.2549e-09 -4.28347e-10 -5.18525e-10 -4.97018e-10
